Gene,Group,FAM83D,GHR,ADH4,LCAT,4-gene signature
HCC437,Tumor,1.929637632,1.262095146,9.212709032,2.1567367,14.91661227
HCC438,Tumor,1.731437429,2.232848295,11.16124402,1.339821505,17.46922736
HCC439,Tumor,1.42406105,2.160649173,0.916517918,0.640694033,2.665818424
HCC440,Tumor,0.418401546,3.400879846,0.458698018,0.075714711,-2.789272234
HCC441,Tumor,1.798999,1.045775647,8.131580003,0.383116452,17.27761826
HCC442,Tumor,2.267143236,2.199186732,11.51344544,2.824428571,16.79703708
HCC443,Tumor,2.39668807,2.213996698,8.168406894,1.848278605,14.65360831
HCC444,Tumor,3.706961252,4.272353955,7.674595608,2.079773358,15.85779291
HCC445,Tumor,0.842909661,1.469362449,2.765053909,3.438197157,-2.644010024
HCC446,Tumor,3.260812147,4.569242986,8.970781118,2.70986848,13.96174702
HCC447,Tumor,0.230220232,0.383869597,8.373095438,0.058708551,12.74094102
HCC448,Tumor,0.744968779,4.109053682,6.012053471,0.959761254,3.719503137
HCC449,Tumor,0.929138798,2.609898894,2.994549313,0.702341933,2.848127247
HCC450,Tumor,1.878778694,0.834788869,7.124363023,0.142503624,16.99975356
HCC451,Tumor,1.46843526,1.084617419,8.580740372,2.464096826,11.55547922
HCC452,Tumor,1.311765822,2.804614085,9.99899278,3.082131324,8.976860103
HCC453,Tumor,0.669441367,1.277574785,11.21962228,3.374155049,9.655334698
HCC456,Tumor,4.136826282,3.260443043,8.342096053,2.036322216,20.28572277
HCC457,Tumor,5.227892529,2.82237101,9.099217991,0.195642407,31.05509382
HCC458,Tumor,1.489619487,6.717710006,11.95940608,0.954221627,11.86460852
HCC459,Tumor,3.500217082,2.266718789,8.192868298,0.575996722,22.30577096
HCC460,Tumor,1.427535913,2.387012579,9.468835946,1.121033973,13.94781857
HCC461,Tumor,2.277799416,4.805853687,10.50538456,3.278564237,10.37997328
HCC462,Tumor,3.497704327,3.596356756,3.107998802,0.748723127,12.32813918
HCC464,Tumor,1.985230811,3.279176189,4.991953241,3.33968998,3.054351194
